text,tag,session,language,sentiment_result,sentiment,sentiment_score,emotion_result,emotion,emotion_score,emotion_intensity,topic,session_text,session_summary,alert,consec_alert,session_alert
Why am I starting to not like myself?,self-esteem-A,3,en,"{'label': 'NEGATIVE', 'score': 0.9991389513015747}",NEGATIVE,0.9991389513015747,"{'label': 'sadness', 'score': 0.37398985028266907}",sadness,0.37398985028266907,Mild,0,"I feel like I hate myself physically and emotionally sometimes. How can I start accepting myself and be more confident? Why am I starting to not like myself? For the past year, I have been feeling pressured to do well in school, and it put a ton of stress on me I have been bullied for five years for taking stress, it is now sinking in, and I can't stop it. For some other reason, I can't find a hobby I can see myself doing without thinking bad about myself Why do I feel like I can never meet people's expectations? Why am I so nervous talking to people? How can I feel less self-conscious about my weight? I'm a teenage girl, and I feel very bad about my weight. I don't know how to make it stop.",I feel like I hate myself physically and emotionally sometimes. why am I starting to not like myself? why am I starting to not like myself? why am I so nervous talking to people? why am I so nervous talking to people?,NORMAL,1,OK
"For the past year, I have been feeling pressured to do well in school, and it put a ton of stress on me",self-esteem-A,3,en,"{'label': 'NEGATIVE', 'score': 0.9718979001045227}",NEGATIVE,0.9718979001045227,"{'label': 'fear', 'score': 0.9956018924713135}",fear,0.9956018924713135,Extreme,0,"I feel like I hate myself physically and emotionally sometimes. How can I start accepting myself and be more confident? Why am I starting to not like myself? For the past year, I have been feeling pressured to do well in school, and it put a ton of stress on me I have been bullied for five years for taking stress, it is now sinking in, and I can't stop it. For some other reason, I can't find a hobby I can see myself doing without thinking bad about myself Why do I feel like I can never meet people's expectations? Why am I so nervous talking to people? How can I feel less self-conscious about my weight? I'm a teenage girl, and I feel very bad about my weight. I don't know how to make it stop.",I feel like I hate myself physically and emotionally sometimes. why am I starting to not like myself? why am I starting to not like myself? why am I so nervous talking to people? why am I so nervous talking to people?,NORMAL,1,OK
"I have been bullied for five years for taking stress, it is now sinking in, and I can't stop it. For some other reason, I can't find a hobby I can see myself doing without thinking bad about myself",self-esteem-A,3,en,"{'label': 'POSITIVE', 'score': 0.6733712553977966}",POSITIVE,0.6733712553977966,"{'label': 'sadness', 'score': 0.8532282114028931}",sadness,0.8532282114028931,Extreme,0,"I feel like I hate myself physically and emotionally sometimes. How can I start accepting myself and be more confident? Why am I starting to not like myself? For the past year, I have been feeling pressured to do well in school, and it put a ton of stress on me I have been bullied for five years for taking stress, it is now sinking in, and I can't stop it. For some other reason, I can't find a hobby I can see myself doing without thinking bad about myself Why do I feel like I can never meet people's expectations? Why am I so nervous talking to people? How can I feel less self-conscious about my weight? I'm a teenage girl, and I feel very bad about my weight. I don't know how to make it stop.",I feel like I hate myself physically and emotionally sometimes. why am I starting to not like myself? why am I starting to not like myself? why am I so nervous talking to people? why am I so nervous talking to people?,ALERT,1,OK
Why do I feel like I can never meet people's expectations?,self-esteem-A,3,en,"{'label': 'NEGATIVE', 'score': 0.9997351765632629}",NEGATIVE,0.9997351765632629,"{'label': 'sadness', 'score': 0.4743606448173523}",sadness,0.4743606448173523,Moderate,0,"I feel like I hate myself physically and emotionally sometimes. How can I start accepting myself and be more confident? Why am I starting to not like myself? For the past year, I have been feeling pressured to do well in school, and it put a ton of stress on me I have been bullied for five years for taking stress, it is now sinking in, and I can't stop it. For some other reason, I can't find a hobby I can see myself doing without thinking bad about myself Why do I feel like I can never meet people's expectations? Why am I so nervous talking to people? How can I feel less self-conscious about my weight? I'm a teenage girl, and I feel very bad about my weight. I don't know how to make it stop.",I feel like I hate myself physically and emotionally sometimes. why am I starting to not like myself? why am I starting to not like myself? why am I so nervous talking to people? why am I so nervous talking to people?,NORMAL,1,OK
Why am I so nervous talking to people?,self-esteem-A,3,en,"{'label': 'NEGATIVE', 'score': 0.995970606803894}",NEGATIVE,0.995970606803894,"{'label': 'fear', 'score': 0.9816899299621582}",fear,0.9816899299621582,Extreme,0,"I feel like I hate myself physically and emotionally sometimes. How can I start accepting myself and be more confident? Why am I starting to not like myself? For the past year, I have been feeling pressured to do well in school, and it put a ton of stress on me I have been bullied for five years for taking stress, it is now sinking in, and I can't stop it. For some other reason, I can't find a hobby I can see myself doing without thinking bad about myself Why do I feel like I can never meet people's expectations? Why am I so nervous talking to people? How can I feel less self-conscious about my weight? I'm a teenage girl, and I feel very bad about my weight. I don't know how to make it stop.",I feel like I hate myself physically and emotionally sometimes. why am I starting to not like myself? why am I starting to not like myself? why am I so nervous talking to people? why am I so nervous talking to people?,NORMAL,1,OK
How can I feel less self-conscious about my weight?,self-esteem-B,3,en,"{'label': 'NEGATIVE', 'score': 0.9919655323028564}",NEGATIVE,0.9919655323028564,"{'label': 'fear', 'score': 0.5228292942047119}",fear,0.5228292942047119,Moderate,0,"I feel like I hate myself physically and emotionally sometimes. How can I start accepting myself and be more confident? Why am I starting to not like myself? For the past year, I have been feeling pressured to do well in school, and it put a ton of stress on me I have been bullied for five years for taking stress, it is now sinking in, and I can't stop it. For some other reason, I can't find a hobby I can see myself doing without thinking bad about myself Why do I feel like I can never meet people's expectations? Why am I so nervous talking to people? How can I feel less self-conscious about my weight? I'm a teenage girl, and I feel very bad about my weight. I don't know how to make it stop.",I feel like I hate myself physically and emotionally sometimes. why am I starting to not like myself? why am I starting to not like myself? why am I so nervous talking to people? why am I so nervous talking to people?,NORMAL,1,OK
"I'm a teenage girl, and I feel very bad about my weight. I don't know how to make it stop.",self-esteem-B,3,en,"{'label': 'NEGATIVE', 'score': 0.9997521042823792}",NEGATIVE,0.9997521042823792,"{'label': 'sadness', 'score': 0.6003842353820801}",sadness,0.6003842353820801,Moderate,0,"I feel like I hate myself physically and emotionally sometimes. How can I start accepting myself and be more confident? Why am I starting to not like myself? For the past year, I have been feeling pressured to do well in school, and it put a ton of stress on me I have been bullied for five years for taking stress, it is now sinking in, and I can't stop it. For some other reason, I can't find a hobby I can see myself doing without thinking bad about myself Why do I feel like I can never meet people's expectations? Why am I so nervous talking to people? How can I feel less self-conscious about my weight? I'm a teenage girl, and I feel very bad about my weight. I don't know how to make it stop.",I feel like I hate myself physically and emotionally sometimes. why am I starting to not like myself? why am I starting to not like myself? why am I so nervous talking to people? why am I so nervous talking to people?,NORMAL,1,OK
I am very self conscious about my body,self-esteem-B,4,en,"{'label': 'NEGATIVE', 'score': 0.9955429434776306}",NEGATIVE,0.9955429434776306,"{'label': 'neutral', 'score': 0.34383442997932434}",neutral,0.34383442997932434,Mild,0,"I am very self conscious about my body On the first day of school I wore a bra that was too big so that it would look like I had bigger boobs. I did that the whole school year and my parents never found out. But now I can never hang out with my friends at my house or invite them over because it would be around my parents and my friends would see there is nothing there on my chest. I hate the way I look I hate everything I see in the mirror. I don't like being in pictures and always scribble out my face. It's stressing me out. I don't trust my parents enough to tell them and I don't know what to do. How come I feel ugly? I'm in my early 20s. I've been married once, and he cheated on me. Ever since then, I've felt ugly no matter what. I'm engaged, and I still feel ugly. I don't like to take pictures of myself. Why do I feel like I always need to be in a relationship? I have suffered many things at home and school. We never went to the doctor to diagnose depression or anything like that, but I always feel like a part of my heart is missing. I try to fill it in with objects or, in this case, a woman. How come no man sparks my interest? I was never single, afraid to be alone, and I looked for my boyfriend to make me happy. I finally worked on my self, was in a relationship, and I did everything a healthy girlfriend does and it didn't work out. Now months later, no man peaks my interest. Am I ready to date again? Is there a reason no one sparks my interest?",I hate the way I look I hate everything I see in the mirror. I don't like being in pictures and always scribble out my face. why do I feel like I always need to be in a relationship,NORMAL,1,OK
On the first day of school I wore a bra that was too big so that it would look like I had bigger boobs. I did that the whole school year and my parents never found out. But now I can never hang out with my friends at my house or invite them over because it would be around my parents and my friends would see there is nothing there on my chest.,self-esteem-B,4,en,"{'label': 'NEGATIVE', 'score': 0.9847512245178223}",NEGATIVE,0.9847512245178223,"{'label': 'disgust', 'score': 0.4663829803466797}",disgust,0.4663829803466797,Moderate,0,"I am very self conscious about my body On the first day of school I wore a bra that was too big so that it would look like I had bigger boobs. I did that the whole school year and my parents never found out. But now I can never hang out with my friends at my house or invite them over because it would be around my parents and my friends would see there is nothing there on my chest. I hate the way I look I hate everything I see in the mirror. I don't like being in pictures and always scribble out my face. It's stressing me out. I don't trust my parents enough to tell them and I don't know what to do. How come I feel ugly? I'm in my early 20s. I've been married once, and he cheated on me. Ever since then, I've felt ugly no matter what. I'm engaged, and I still feel ugly. I don't like to take pictures of myself. Why do I feel like I always need to be in a relationship? I have suffered many things at home and school. We never went to the doctor to diagnose depression or anything like that, but I always feel like a part of my heart is missing. I try to fill it in with objects or, in this case, a woman. How come no man sparks my interest? I was never single, afraid to be alone, and I looked for my boyfriend to make me happy. I finally worked on my self, was in a relationship, and I did everything a healthy girlfriend does and it didn't work out. Now months later, no man peaks my interest. Am I ready to date again? Is there a reason no one sparks my interest?",I hate the way I look I hate everything I see in the mirror. I don't like being in pictures and always scribble out my face. why do I feel like I always need to be in a relationship,NORMAL,1,OK
I hate the way I look,self-esteem-B,4,en,"{'label': 'NEGATIVE', 'score': 0.9993269443511963}",NEGATIVE,0.9993269443511963,"{'label': 'anger', 'score': 0.5317278504371643}",anger,0.5317278504371643,Moderate,0,"I am very self conscious about my body On the first day of school I wore a bra that was too big so that it would look like I had bigger boobs. I did that the whole school year and my parents never found out. But now I can never hang out with my friends at my house or invite them over because it would be around my parents and my friends would see there is nothing there on my chest. I hate the way I look I hate everything I see in the mirror. I don't like being in pictures and always scribble out my face. It's stressing me out. I don't trust my parents enough to tell them and I don't know what to do. How come I feel ugly? I'm in my early 20s. I've been married once, and he cheated on me. Ever since then, I've felt ugly no matter what. I'm engaged, and I still feel ugly. I don't like to take pictures of myself. Why do I feel like I always need to be in a relationship? I have suffered many things at home and school. We never went to the doctor to diagnose depression or anything like that, but I always feel like a part of my heart is missing. I try to fill it in with objects or, in this case, a woman. How come no man sparks my interest? I was never single, afraid to be alone, and I looked for my boyfriend to make me happy. I finally worked on my self, was in a relationship, and I did everything a healthy girlfriend does and it didn't work out. Now months later, no man peaks my interest. Am I ready to date again? Is there a reason no one sparks my interest?",I hate the way I look I hate everything I see in the mirror. I don't like being in pictures and always scribble out my face. why do I feel like I always need to be in a relationship,NORMAL,1,OK
I hate everything I see in the mirror. I don't like being in pictures and always scribble out my face. It's stressing me out. I don't trust my parents enough to tell them and I don't know what to do.,self-esteem-B,4,en,"{'label': 'NEGATIVE', 'score': 0.9970477223396301}",NEGATIVE,0.9970477223396301,"{'label': 'anger', 'score': 0.5116713047027588}",anger,0.5116713047027588,Moderate,-1,"I am very self conscious about my body On the first day of school I wore a bra that was too big so that it would look like I had bigger boobs. I did that the whole school year and my parents never found out. But now I can never hang out with my friends at my house or invite them over because it would be around my parents and my friends would see there is nothing there on my chest. I hate the way I look I hate everything I see in the mirror. I don't like being in pictures and always scribble out my face. It's stressing me out. I don't trust my parents enough to tell them and I don't know what to do. How come I feel ugly? I'm in my early 20s. I've been married once, and he cheated on me. Ever since then, I've felt ugly no matter what. I'm engaged, and I still feel ugly. I don't like to take pictures of myself. Why do I feel like I always need to be in a relationship? I have suffered many things at home and school. We never went to the doctor to diagnose depression or anything like that, but I always feel like a part of my heart is missing. I try to fill it in with objects or, in this case, a woman. How come no man sparks my interest? I was never single, afraid to be alone, and I looked for my boyfriend to make me happy. I finally worked on my self, was in a relationship, and I did everything a healthy girlfriend does and it didn't work out. Now months later, no man peaks my interest. Am I ready to date again? Is there a reason no one sparks my interest?",I hate the way I look I hate everything I see in the mirror. I don't like being in pictures and always scribble out my face. why do I feel like I always need to be in a relationship,NORMAL,1,OK
How come I feel ugly?,self-esteem-B,4,en,"{'label': 'NEGATIVE', 'score': 0.9997453093528748}",NEGATIVE,0.9997453093528748,"{'label': 'sadness', 'score': 0.7784944772720337}",sadness,0.7784944772720337,Strong,0,"I am very self conscious about my body On the first day of school I wore a bra that was too big so that it would look like I had bigger boobs. I did that the whole school year and my parents never found out. But now I can never hang out with my friends at my house or invite them over because it would be around my parents and my friends would see there is nothing there on my chest. I hate the way I look I hate everything I see in the mirror. I don't like being in pictures and always scribble out my face. It's stressing me out. I don't trust my parents enough to tell them and I don't know what to do. How come I feel ugly? I'm in my early 20s. I've been married once, and he cheated on me. Ever since then, I've felt ugly no matter what. I'm engaged, and I still feel ugly. I don't like to take pictures of myself. Why do I feel like I always need to be in a relationship? I have suffered many things at home and school. We never went to the doctor to diagnose depression or anything like that, but I always feel like a part of my heart is missing. I try to fill it in with objects or, in this case, a woman. How come no man sparks my interest? I was never single, afraid to be alone, and I looked for my boyfriend to make me happy. I finally worked on my self, was in a relationship, and I did everything a healthy girlfriend does and it didn't work out. Now months later, no man peaks my interest. Am I ready to date again? Is there a reason no one sparks my interest?",I hate the way I look I hate everything I see in the mirror. I don't like being in pictures and always scribble out my face. why do I feel like I always need to be in a relationship,NORMAL,1,OK
"I'm in my early 20s. I've been married once, and he cheated on me. Ever since then, I've felt ugly no matter what. I'm engaged, and I still feel ugly. I don't like to take pictures of myself.",self-esteem-B,4,en,"{'label': 'NEGATIVE', 'score': 0.9978312849998474}",NEGATIVE,0.9978312849998474,"{'label': 'disgust', 'score': 0.5215784907341003}",disgust,0.5215784907341003,Moderate,0,"I am very self conscious about my body On the first day of school I wore a bra that was too big so that it would look like I had bigger boobs. I did that the whole school year and my parents never found out. But now I can never hang out with my friends at my house or invite them over because it would be around my parents and my friends would see there is nothing there on my chest. I hate the way I look I hate everything I see in the mirror. I don't like being in pictures and always scribble out my face. It's stressing me out. I don't trust my parents enough to tell them and I don't know what to do. How come I feel ugly? I'm in my early 20s. I've been married once, and he cheated on me. Ever since then, I've felt ugly no matter what. I'm engaged, and I still feel ugly. I don't like to take pictures of myself. Why do I feel like I always need to be in a relationship? I have suffered many things at home and school. We never went to the doctor to diagnose depression or anything like that, but I always feel like a part of my heart is missing. I try to fill it in with objects or, in this case, a woman. How come no man sparks my interest? I was never single, afraid to be alone, and I looked for my boyfriend to make me happy. I finally worked on my self, was in a relationship, and I did everything a healthy girlfriend does and it didn't work out. Now months later, no man peaks my interest. Am I ready to date again? Is there a reason no one sparks my interest?",I hate the way I look I hate everything I see in the mirror. I don't like being in pictures and always scribble out my face. why do I feel like I always need to be in a relationship,NORMAL,1,OK
Why do I feel like I always need to be in a relationship?,relationship-b,4,en,"{'label': 'NEGATIVE', 'score': 0.9663238525390625}",NEGATIVE,0.9663238525390625,"{'label': 'neutral', 'score': 0.7293903231620789}",neutral,0.7293903231620789,Strong,0,"I am very self conscious about my body On the first day of school I wore a bra that was too big so that it would look like I had bigger boobs. I did that the whole school year and my parents never found out. But now I can never hang out with my friends at my house or invite them over because it would be around my parents and my friends would see there is nothing there on my chest. I hate the way I look I hate everything I see in the mirror. I don't like being in pictures and always scribble out my face. It's stressing me out. I don't trust my parents enough to tell them and I don't know what to do. How come I feel ugly? I'm in my early 20s. I've been married once, and he cheated on me. Ever since then, I've felt ugly no matter what. I'm engaged, and I still feel ugly. I don't like to take pictures of myself. Why do I feel like I always need to be in a relationship? I have suffered many things at home and school. We never went to the doctor to diagnose depression or anything like that, but I always feel like a part of my heart is missing. I try to fill it in with objects or, in this case, a woman. How come no man sparks my interest? I was never single, afraid to be alone, and I looked for my boyfriend to make me happy. I finally worked on my self, was in a relationship, and I did everything a healthy girlfriend does and it didn't work out. Now months later, no man peaks my interest. Am I ready to date again? Is there a reason no one sparks my interest?",I hate the way I look I hate everything I see in the mirror. I don't like being in pictures and always scribble out my face. why do I feel like I always need to be in a relationship,NORMAL,1,OK
"I have suffered many things at home and school. We never went to the doctor to diagnose depression or anything like that, but I always feel like a part of my heart is missing. I try to fill it in with objects or, in this case, a woman.",relationship-b,4,en,"{'label': 'NEGATIVE', 'score': 0.9992558360099792}",NEGATIVE,0.9992558360099792,"{'label': 'sadness', 'score': 0.9318280816078186}",sadness,0.9318280816078186,Extreme,0,"I am very self conscious about my body On the first day of school I wore a bra that was too big so that it would look like I had bigger boobs. I did that the whole school year and my parents never found out. But now I can never hang out with my friends at my house or invite them over because it would be around my parents and my friends would see there is nothing there on my chest. I hate the way I look I hate everything I see in the mirror. I don't like being in pictures and always scribble out my face. It's stressing me out. I don't trust my parents enough to tell them and I don't know what to do. How come I feel ugly? I'm in my early 20s. I've been married once, and he cheated on me. Ever since then, I've felt ugly no matter what. I'm engaged, and I still feel ugly. I don't like to take pictures of myself. Why do I feel like I always need to be in a relationship? I have suffered many things at home and school. We never went to the doctor to diagnose depression or anything like that, but I always feel like a part of my heart is missing. I try to fill it in with objects or, in this case, a woman. How come no man sparks my interest? I was never single, afraid to be alone, and I looked for my boyfriend to make me happy. I finally worked on my self, was in a relationship, and I did everything a healthy girlfriend does and it didn't work out. Now months later, no man peaks my interest. Am I ready to date again? Is there a reason no one sparks my interest?",I hate the way I look I hate everything I see in the mirror. I don't like being in pictures and always scribble out my face. why do I feel like I always need to be in a relationship,ALERT,1,OK
How come no man sparks my interest?,relationship-b,4,en,"{'label': 'NEGATIVE', 'score': 0.9995856881141663}",NEGATIVE,0.9995856881141663,"{'label': 'surprise', 'score': 0.5813376307487488}",surprise,0.5813376307487488,Moderate,0,"I am very self conscious about my body On the first day of school I wore a bra that was too big so that it would look like I had bigger boobs. I did that the whole school year and my parents never found out. But now I can never hang out with my friends at my house or invite them over because it would be around my parents and my friends would see there is nothing there on my chest. I hate the way I look I hate everything I see in the mirror. I don't like being in pictures and always scribble out my face. It's stressing me out. I don't trust my parents enough to tell them and I don't know what to do. How come I feel ugly? I'm in my early 20s. I've been married once, and he cheated on me. Ever since then, I've felt ugly no matter what. I'm engaged, and I still feel ugly. I don't like to take pictures of myself. Why do I feel like I always need to be in a relationship? I have suffered many things at home and school. We never went to the doctor to diagnose depression or anything like that, but I always feel like a part of my heart is missing. I try to fill it in with objects or, in this case, a woman. How come no man sparks my interest? I was never single, afraid to be alone, and I looked for my boyfriend to make me happy. I finally worked on my self, was in a relationship, and I did everything a healthy girlfriend does and it didn't work out. Now months later, no man peaks my interest. Am I ready to date again? Is there a reason no one sparks my interest?",I hate the way I look I hate everything I see in the mirror. I don't like being in pictures and always scribble out my face. why do I feel like I always need to be in a relationship,NORMAL,1,OK
"I was never single, afraid to be alone, and I looked for my boyfriend to make me happy. I finally worked on my self, was in a relationship, and I did everything a healthy girlfriend does and it didn't work out. Now months later, no man peaks my interest. Am I ready to date again? Is there a reason no one sparks my interest?",relationship-b,4,en,"{'label': 'NEGATIVE', 'score': 0.9853410124778748}",NEGATIVE,0.9853410124778748,"{'label': 'fear', 'score': 0.9631443619728088}",fear,0.9631443619728088,Extreme,-1,"I am very self conscious about my body On the first day of school I wore a bra that was too big so that it would look like I had bigger boobs. I did that the whole school year and my parents never found out. But now I can never hang out with my friends at my house or invite them over because it would be around my parents and my friends would see there is nothing there on my chest. I hate the way I look I hate everything I see in the mirror. I don't like being in pictures and always scribble out my face. It's stressing me out. I don't trust my parents enough to tell them and I don't know what to do. How come I feel ugly? I'm in my early 20s. I've been married once, and he cheated on me. Ever since then, I've felt ugly no matter what. I'm engaged, and I still feel ugly. I don't like to take pictures of myself. Why do I feel like I always need to be in a relationship? I have suffered many things at home and school. We never went to the doctor to diagnose depression or anything like that, but I always feel like a part of my heart is missing. I try to fill it in with objects or, in this case, a woman. How come no man sparks my interest? I was never single, afraid to be alone, and I looked for my boyfriend to make me happy. I finally worked on my self, was in a relationship, and I did everything a healthy girlfriend does and it didn't work out. Now months later, no man peaks my interest. Am I ready to date again? Is there a reason no one sparks my interest?",I hate the way I look I hate everything I see in the mirror. I don't like being in pictures and always scribble out my face. why do I feel like I always need to be in a relationship,NORMAL,1,OK
Why is it hard for me to express myself?,relationship-b,5,en,"{'label': 'NEGATIVE', 'score': 0.9993689656257629}",NEGATIVE,0.9993689656257629,"{'label': 'sadness', 'score': 0.5224201083183289}",sadness,0.5224201083183289,Moderate,0,"Why is it hard for me to express myself? I don't know how to tell someone how I feel about them. How can I get better at expressing how I feel? I feel like I can't control having inappropriate thoughts I find that I imagine things sexually, and I hate it because it puts strain on my relationship. I feel helpless and guilty. I want it to go away, and I want to make my woman happy again. I feel like I could never be with anyone because no one would want me What do I do if I have been feeling like I could never be with anyone because no one would want me. Or I couldn't have many friends because of who I am. It's strange I want to be loved but I'd hate to be because I always lose. Why does my boyfriend threaten to leave every night? My boyfriend is always saying he's done with me and says he's leaving, but then at the end of the night, he's still here. He wakes up in the morning, acts like nothing happen, and repeats this every night. I'm scared of losing my girlfriend My girlfriend recently started hanging out a lot more with one of her friends who did her wrong in the past and just walked out on her. So for the past 3 years its been just me and my girlfriend. Things have been great up until the last month. Now she ignores me and texts and hangs oit with her friend more and more. I dont know what to do anymore. My girlfriend is so distant. How do I keep from losing her?",why does my boyfriend threaten to leave every night? why does my boyfriend threaten to leave every night? why does my boyfriend threaten to leave every night?,NORMAL,1,OK
